Date,Description,(GBP) Amount,Category,Transaction Type,Bank,Category 1
12/05/2023,PRET A MANGER LONDON GBR,-2.99,Eat out,Outgoing,Monzo,Food and Dining
11/05/2023,Schuh Wood Green London GBR,-27.99,Retail,Outgoing,Monzo,Retail
11/05/2023,PAK COSMETIC CENTRE LONDON GBR,-5.97,Beauty,Outgoing,Monzo,Beauty and Personal Care
11/05/2023,PAK COSMETIC CENTRE LONDON GBR,-17.98,Beauty,Outgoing,Monzo,Beauty and Personal Care
11/05/2023,Finishing Touches London GBR,-7.99,Beauty,Outgoing,Monzo,Beauty and Personal Care
11/05/2023,Braggs School Wear North Finchle GBR,-65.1,Retail,Outgoing,Monzo,Clothing
11/05/2023,CLAIRE'S ACCESSORIES EDGWARE GBR,-18,Fashion/Accessories,Outgoing,Monzo,Retail
11/05/2023,Care Chemist Boreham Wood GBR,-1,Healthcare,Outgoing,Monzo,Pharmacy
11/05/2023,Ms M Cambridge (Faster Payments),-80,Client's self-transfer,Outgoing,Monzo,Transfer
11/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster,300,Client's self-transfer,Income,Monzo,Transfer
10/05/2023,TESCO STORES 2126 BOREHAMWOOD GBR,-5.5,Groceries,Outgoing,Monzo,Groceries
10/05/2023,Mr Leonard St.Catherine. (Faster Payments),-200,Transfer to another person,Outgoing,Monzo,Transfer
10/05/2023,Studioway Food & Wine Borehamwood GBR,-6.08,Groceries,Outgoing,Monzo,Groceries
10/05/2023,TfL Unpaid Fares TFL.gov.uk/CP GBR (pending),-0.1,Transport,Outgoing,Monzo,Transport
10/05/2023,Ms M Cambridge (Faster Payments),-150,Client's self-transfer,Outgoing,Monzo,Transfer
10/05/2023,Isaac Cambridge (Faster Payments),-321,Transfer to another person,Outgoing,Monzo,Transfer
10/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster,700,Client's self-transfer,Income,Monzo,Transfer
07/05/2023,TFL TRAVEL CH\VICTORIA,-1.75,Transport,Outgoing,Monzo,Transport
06/05/2023,TFL TRAVEL CH\VICTORIA,-5.25,Transport,Outgoing,Monzo,Transport
05/05/2023,TFL TRAVEL CH\VICTORIA,-8.75,Transport,Outgoing,Monzo,Transport
04/05/2023,ALDI 781 142 LONDON GBR,-1.69,Groceries,Outgoing,Monzo,Groceries
04/05/2023,TESCO STORES 6042 LONDON GBR,-3.9,Groceries,Outgoing,Monzo,Groceries
04/05/2023,WAITROSE LONDON GBR,-6.39,Groceries,Outgoing,Monzo,Groceries
04/05/2023,TfL Travel Charge TFL.gov.uk/CP GBR,-8.75,Transport,Outgoing,Monzo,Transport
03/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster,30,Client's self-transfer,Income,Monzo,Transfer
03/05/2023,WAITROSE LONDON GBR,-1.44,Groceries,Outgoing,Monzo,Groceries
03/05/2023,SQ *BAMBINA DI CIOCCOL London GBR,-12,Groceries,Outgoing,Monzo,Food and Dining
03/05/2023,SAINSBURYS WAPPING LON LONDON GBR,-5.1,Groceries,Outgoing,Monzo,Groceries
03/05/2023,WAITROSE LONDON GBR,-3.94,Groceries,Outgoing,Monzo,Groceries
02/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD,-3.99,Groceries,Outgoing,Monzo,Unknown
02/05/2023,FAST FOOD LONDON GBR,-2.5,Eat out,Outgoing,Monzo,Food and Dining
02/05/2023,Zettle_*Wapping Sourdo London GBR,-4,Groceries,Outgoing,Monzo,Food and Dining
02/05/2023,WAITROSE LONDON GBR,-2.94,Groceries,Outgoing,Monzo,Groceries
02/05/2023,PRET A MANGER LONDON GBR,-2.99,Eat out,Outgoing,Monzo,Food and Dining
02/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster,50,Client's self-transfer,Income,Monzo,Transfer
02/05/2023,TfL Travel Charge TFL.gov.uk/CP GBR,-8.75,Transport,Outgoing,Monzo,Transport
01/05/2023,Interest for April 2023,0.06,Banking,Income,Monzo,Interest
21/04/2023,Monzo Plus,-5,Banking,Outgoing,Monzo,Banking/Financial Services
17/04/2023,ALDI 781 142 LONDON GBR,-1.89,Groceries,Outgoing,Monzo,Groceries
16/04/2023,TESCO STORES 6042 LONDON GBR,-3.9,Groceries,Outgoing,Monzo,Groceries
