Date,Description,(GBP) Amount,Category,Transaction Type,Bank,Category 1
10/03/2023,Outward Faster Payment Maxine cambridge,-160,Outward Faster Payment,Outgoing,Metro,Transfer
10/03/2023,Inward Payment Access UK Ltd,100,Payment Transaction,Income,Metro,Transfer
10/03/2023,Outward Faster Payment Maxine cambridge,-50,Outward Faster Payment,Outgoing,Metro,Transfer
13/03/2023,TFL TRAVEL CH,-11.9,Transportation,Outgoing,Metro,Transport
13/03/2023,Inward Payment Access UK Ltd,100,Payment Transaction,Income,Metro,Transfer
13/03/2023,Outward Faster Payment Maxine cambridge,-50,Outward Faster Payment,Outgoing,Metro,Transfer
14/03/2023,ALDI Stores,-1.09,Grocery Shopping,Outgoing,Metro,Groceries
14/03/2023,Greens international f,-3.78,Foreign transaction,Outgoing,Metro,Groceries
14/03/2023,TESCO STORES 6042,-3.9,Grocery Shopping,Outgoing,Metro,Groceries
14/03/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
14/03/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
14/03/2023,TFL TRAVEL CH,-9.3,Transportation,Outgoing,Metro,Transport
14/03/2023,WAITROSE 753,-11.55,Grocery Shopping,Outgoing,Metro,Groceries
14/03/2023,PLACES FOR PEOPLE HOME,-500,Real Estate,Outgoing,Metro,Rent
15/03/2023,AMZNMKTPLACE AMAZON.CO,-3.51,Online shopping,Outgoing,Metro,Online Shopping
15/03/2023,Zettle Wapping Sourdo,-4,Payment,Outgoing,Metro,Unknown
15/03/2023,SAINSBURYS S MKTS,-4.6,Grocery Shopping,Outgoing,Metro,Groceries
15/03/2023,WAITROSE 753,-15.37,Grocery Shopping,Outgoing,Metro,Groceries
15/03/2023,Inward Payment Access UK Ltd,50,Payment Transaction,Income,Metro,Transfer
14/03/2023,PPOINT STUDIO WAY FOO,-1.3,Online Shopping,Outgoing,Metro,Unknown
16/03/2023,BRITISH HEART FOUNDATI,-1.49,Charitable donation,Outgoing,Metro,Charity
16/03/2023,MCDONALDS 55,-2.19,Food and Dining,Outgoing,Metro,Food and Dining
16/03/2023,ALDI Stores,-4.74,Grocery Shopping,Outgoing,Metro,Groceries
16/03/2023,WAITROSE 753,-4.7,Grocery Shopping,Outgoing,Metro,Groceries
16/03/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
17/03/2023,NISA LOCAL ELSTREE STA,-1.49,Category: Local transportation,Outgoing,Metro,Groceries
17/03/2023,TESCO STORES 5781,-3.9,Grocery Shopping,Outgoing,Metro,Groceries
17/03/2023,TFL TRAVEL CH,-5.25,Transportation,Outgoing,Metro,Transport
17/03/2023,TFL TRAVEL CH,-10.05,Transportation,Outgoing,Metro,Transport
17/03/2023,Inward Payment Access UK Ltd,"50,00",Payment Transaction,Income,Metro,Transfer
20/03/2023,BOOTS 951,-5.49,Category: Retail purchase,Outgoing,Metro,Pharmacy
20/03/2023,WAITROSE 753,-6.7,Grocery Shopping,Outgoing,Metro,Groceries
20/03/2023,Card Purchase 16 MAR 2023,-7,Category: Retail Shopping,Outgoing,Metro,Unknown
20/03/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
21/03/2023,TFL TRAVEL CH,0,Transportation,Outgoing,Metro,Transport
21/03/2023,GOOGLE Google Storage,-2.49,Online Services,Outgoing,Metro,Technology/Cloud Storage
21/03/2023,ALDI Stores,-2.64,Grocery Shopping,Outgoing,Metro,Groceries
21/03/2023,PRET A MANGER,-2.99,Food and Beverage,Outgoing,Metro,Food and Dining
21/03/2023,SAINSBURYS S MKTS,-3.8,Grocery Shopping,Outgoing,Metro,Groceries
21/03/2023,TFL TRAVEL CH,-5.25,Transportation,Outgoing,Metro,Transport
21/03/2023,TFLTRAVELCH ~,-3.7,Transportation,Outgoing,Metro,Transport
23/03/2023,WAITROSE 753,-0.6,Grocery Shopping,Outgoing,Metro,Groceries
23/03/2023,BOOTS 951,-4.99,Category: Retail purchase,Outgoing,Metro,Pharmacy
23/03/2023,TFL TRAVEL CH,-5.25,Transportation,Outgoing,Metro,Transport
23/03/2023,WAITROSE 753,-12.3,Grocery Shopping,Outgoing,Metro,Groceries
24/03/2023,PRET A MANGER,-2.99,Food and Beverage,Outgoing,Metro,Food and Dining
24/03/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
24/03/2023,Inward Payment Access UK Ltd,89,Payment Transaction,Income,Metro,Transfer
27/03/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
28/03/2023,SAINSBURYS S MKTS,0,Grocery Shopping,Outgoing,Metro,Groceries
28/03/2023,TFL TRAVEL CH,-3.5,Transportation,Outgoing,Metro,Transport
28/03/2023,WAITROSE 753,-3.68,Grocery Shopping,Outgoing,Metro,Groceries
28/03/2023,ALDI Stores,-3.97,Grocery Shopping,Outgoing,Metro,Groceries
28/03/2023,TFL TRAVEL CH,-5.45,Transportation,Outgoing,Metro,Transport
28/03/2023,TFL TRAVEL CH,-11.15,Transportation,Outgoing,Metro,Transport
28/03/2023,TFL UNPAID FARE,-11.25,Transportation,Outgoing,Metro,Transport
29/03/2023,GOOGLE YouTubePremium,-11.99,Subscription,Outgoing,Metro,Subscription Services
30/03/2023,DEGOO CLOUD STORAGE 50108983992,-1.89,Cloud storage,Outgoing,Metro,Technology/Cloud Storage
30/03/2023,TFL TRAVEL CH,-5.25,Transportation,Outgoing,Metro,Transport
30/03/2023,TFL TRAVEL CH,-14.65,Transportation,Outgoing,Metro,Transport
31/03/2023,Card Purchase 29 MAR 2023,-14.9,Category: Retail Shopping,Outgoing,Metro,Unknown
01/02/2023,PPOINT STUDIO WAY FOO,-4.57,Online Shopping,Outgoing,Metro,Unknown
01/02/2023,WAITROSE 753,-9,Grocery Shopping,Outgoing,Metro,Groceries
01/02/2023,TFL TRAVEL CH,-12.2,Transportation,Outgoing,Metro,Transport
02/02/2023,PRET A MANGER,-2.99,Food and Beverage,Outgoing,Metro,Food and Dining
02/02/2023,PRET A MANGER,-3.45,Food and Beverage,Outgoing,Metro,Food and Dining
03/02/2023,Card Purchase 01 FEB 2023,-5.05,Category: Retail Shopping,Outgoing,Metro,Unknown
03/02/2023,Card Purchase 01 FEB 2023,-5.7,Category: Retail Shopping,Outgoing,Metro,Unknown
03/02/2023,Patreon Membership,-6,Subscription,Outgoing,Metro,Subscription Services
06/02/2023,ALDI,-1.89,Grocery Shopping,Outgoing,Metro,Groceries
06/02/2023,PPOINT STUDIO WAY FOO,-3.68,Online Shopping,Outgoing,Metro,Unknown
06/02/2023,TFL TRAVEL CH,-8.35,Transportation,Outgoing,Metro,Transport
07/02/2023,TFL TRAVEL CH,-6.65,Transportation,Outgoing,Metro,Transport
07/02/2023,TFL TRAVEL CH,-16.1,Transportation,Outgoing,Metro,Transport
10/02/2023,BACS Payment Received CIS SECURITY LTD,1712.89,Payment Received,Income,Metro,Work
10/02/2023,Inward Payment Access UK,"198,00",Inward Payment,Income,Metro,Banking/Financial Services
10/02/2023,Outward Faster Payment Maxine cambridge,-1025,Outward Faster Payment,Outgoing,Metro,Transfer
10/02/2023,Outward Faster Payment Maxine cambridge,-600,Outward Faster Payment,Outgoing,Metro,Transfer
10/02/2023,Inward Payment Isaac Cambridge,100,Inward Payment,Income,Metro,Transfer from Isaac
13/02/2023,ATM Cash Withdrawal 13/02/23 14:56:17,-10,Transaction Type: Cash Withdrawal,Outgoing,Metro,Cash Withdrawal
13/02/2023,Inward Payment Access UK,199,Inward Payment,Income,Metro,Banking/Financial Services
14/02/2023,Card Purchase 12 FEB 2023,-1.5,Category: Retail Shopping,Outgoing,Metro,Unknown
14/02/2023,TFL TRAVEL CH,-1.65,Transportation,Outgoing,Metro,Transport
14/02/2023,ALDI,-3.38,Grocery Shopping,Outgoing,Metro,Groceries
14/02/2023,TFL TRAVEL CH,4.95,Transportation,Income,Metro,Transport
14/02/2023,AGE UK,4.99,Charitable donation,Income,Metro,Charity
14/02/2023,SCOTTS,5.5,Retail,Income,Metro,Unknown
14/02/2023,CANCER RESEARCH UK,6,Charitable donation,Income,Metro,Charity
14/02/2023,PPOINT STUDIO WAY FOO,6.07,Online Shopping,Income,Metro,Unknown
14/02/2023,CANCER RESEARCH UK,749,Charitable donation,Income,Metro,Charity
14/02/2023,Wimpy,8.5,Food and Beverage,Income,Metro,Restaurant
14/02/2023,Card Purchase 12 FEB 2023,15,Category: Retail Shopping,Income,Metro,Unknown
14/02/2023,SHELL ENERGY,21.41,Energy,Income,Metro,Utilities
14/02/2023,PEACE HOSPICE CARE,25,Healthcare,Income,Metro,Healthcare
14/02/2023,Studioway Food,63.99,Food and Beverage,Income,Metro,Food and Dining
14/02/2023,Fresh Start,7131,Financial Planning,Income,Metro,Unknown
14/02/2023,Outward Faster Payment Maxine cambridge,110,Outward Faster Payment,Income,Metro,Transfer
15/02/2023,TFL TRAVEL CH,3.3,Transportation,Income,Metro,Transport
15/02/2023,Card Purchase 13 FEB 2023,8,Category: Retail Shopping,Income,Metro,Unknown
15/02/2023,VILLAGE FOOD CENTRE,-9716,Food and Dining,Outgoing,Metro,Food and Dining
15/02/2023,AMZNMkiplace 50183204652,-10.09,Online Marketplace Transaction,Outgoing,Metro,Online Shopping
15/02/2023,Card Purchase 13 FEB 2023,-25,Category: Retail Shopping,Outgoing,Metro,Unknown
15/02/2023,TESCO STORES 2126,-40.08,Grocery Shopping,Outgoing,Metro,Groceries
16/02/2023,SCOTTS,-5,Retail,Outgoing,Metro,Unknown
16/02/2023,Card Purchase 14 FEB 2023,-6.2,Category: Retail,Outgoing,Metro,Unknown
16/02/2023,WAITROSE 753,-9.14,Grocery Shopping,Outgoing,Metro,Groceries
16/02/2023,TFL TRAVEL CH,-10.9,Transportation,Outgoing,Metro,Transport
16/02/2023,Wimpy,-4.15,Food and Beverage,Outgoing,Metro,Restaurant
17/02/2023,TFL TRAVEL CH,-10.9,Transportation,Outgoing,Metro,Transport
21/02/2023,GOOGLE Google Storage,-2.49,Online Services,Outgoing,Metro,Technology/Cloud Storage
23/02/2023,Cash Deposit,"17,00",Banking Transaction,Income,Metro,Banking/Financial Services
23/02/2023,Outward Faster Payment Maxine cambridge,-5,Outward Faster Payment,Outgoing,Metro,Transfer
27/02/2023,Cash Deposit,20,Banking Transaction,Income,Metro,Banking/Financial Services
