Table 1.2 - Count Of Births Of New Enterprises For 2016 To 2021 Standard Industrial Classification (SIC2007) Group,,,,,,
This worksheet contains one table,,,,,,
Units: Counts (control rounded to base 5),,,,,,
Sector,2016,2017,2018,2019,2020,2021
    263 : Manufacture of communication equipment,75,135,105,110,90,80
    264 : Manufacture of consumer electronics,55,50,50,60,55,60
"    265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",155,135,145,100,105,125
"    266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment",25,15,15,15,25,20
    267 : Manufacture of optical instruments and photographic equipment,30,30,30,55,60,45
    268 : Manufacture of magnetic and optical media,15,10,5,5,5,10
27 : Manufacture of electrical equipment,275,265,225,255,295,285
"    271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",45,55,30,50,40,45
    272 : Manufacture of batteries and accumulators,5,5,5,15,15,15
    273 : Manufacture of wiring and wiring devices,25,30,30,35,30,45
    274 : Manufacture of electric lighting equipment,95,90,70,55,80,75
    275 : Manufacture of domestic appliances,35,35,35,40,50,45
    279 : Manufacture of other electrical equipment,70,50,55,60,80,60
28 : Manufacture of machinery and equipment n.e.c.,610,510,550,585,535,495
    281 : Manufacture of general-purpose machinery,105,60,95,80,70,75
    282 : Manufacture of other general-purpose machinery,270,185,205,185,195,190
    283 : Manufacture of agricultural and forestry machinery,35,50,50,120,110,55
    284 : Manufacture of metal forming machinery and machine tools,65,65,55,65,50,35
    289 : Manufacture of other special-purpose machinery,135,150,145,135,110,140
"29 : Manufacture of motor vehicles, trailers and semi-trailers",565,465,510,445,395,570
    291 : Manufacture of motor vehicles,265,165,170,110,95,225
    292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,110,130,115,110,125,185
    293 : Manufacture of parts and accessories for motor vehicles,190,170,225,225,175,160
30 : Manufacture of other transport equipment,400,315,330,275,230,280
    301 : Building of ships and boats,140,105,95,105,80,115
    302 : Manufacture of railway locomotives and rolling stock,25,35,45,50,55,40
    303 : Manufacture of air and spacecraft and related machinery,170,115,125,65,45,65
    304 : Manufacture of military fighting vehicles,5,5,5,5,0,0
    309 : Manufacture of transport equipment n.e.c.,60,55,60,50,50,60
31 : Manufacture of furniture,635,590,665,600,650,820
    310 : Manufacture of furniture,635,590,665,600,650,820
32 : Other manufacturing,710,"1,010","1,150","1,460","1,285","1,105"
"    321 : Manufacture of jewellery, bijouterie and related articles",125,160,135,160,145,195
    322 : Manufacture of musical instruments,20,35,35,15,30,40
    323 : Manufacture of sports goods,100,135,105,105,135,150
    324 : Manufacture of games and toys,100,120,80,85,115,150
    325 : Manufacture of medical and dental instruments and supplies,155,150,105,100,180,145
    329 : Other manufacturing n.e.c.,210,410,690,995,680,425
33 : Repair and installation of machinery and equipment,"2,460","2,035","1,995","2,380","2,095","1,750"
"    331 : Repair of fabricated metal products, machinery and equipment","2,055","1,700","1,700","2,100","1,845","1,490"
    332 : Installation of industrial machinery and equipment,405,335,295,280,250,260
"35 : Electricity, gas, steam and air conditioning supply","1,135",755,580,630,535,605
"    351 : Electric power generation, transmission and distribution","1,105",725,540,595,495,570
    352 : Manufacture of gas; distribution of gaseous fuels through mains,25,25,35,35,35,25
    353 : Steam and air conditioning supply,5,5,5,0,5,10
"36 : Water collection, treatment and supply",20,15,15,5,5,0
"    360 : Water collection, treatment and supply",20,15,15,5,5,0
37 : Sewerage,95,100,90,80,120,140
    370 : Sewerage,95,100,90,80,120,140
"38 : Waste collection, treatment and disposal activities; materials recovery",645,660,630,630,660,830
    381 : Waste collection,310,350,360,365,415,535
    382 : Waste treatment and disposal,160,165,145,115,110,140
    383 : Materials recovery,175,145,125,150,135,155
39 : Remediation activities and other waste management services.,185,195,175,190,190,175
    390 : Remediation activities and other waste management services,185,195,175,190,190,175
41 : Construction of buildings,"16,985","16,735","17,085","16,175","15,525","19,655"
