Date,Description, (GBP) Amount ,Transaction Type,Bank,Category 1,
04/05/2023,TESCO STORES 6042 LONDON GBR, -£3.90 ,Outgoing,Monzo,Groceries,
04/05/2023,WAITROSE LONDON GBR, -£6.39 ,Outgoing,Monzo,Groceries,
04/05/2023,TfL Travel Charge TFL.gov.uk/CP GBR, -£8.75 ,Outgoing,Monzo,Transport,
03/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £30.00 ,Income,Monzo,Transfer,
03/05/2023,WAITROSE LONDON GBR, -£1.44 ,Outgoing,Monzo,Groceries,
03/05/2023,SQ *BAMBINA DI CIOCCOL London GBR, -£12.00 ,Outgoing,Monzo,Food and Dining,
03/05/2023,SAINSBURYS WAPPING LON LONDON GBR, -£5.10 ,Outgoing,Monzo,Groceries,
03/05/2023,WAITROSE LONDON GBR, -£3.94 ,Outgoing,Monzo,Groceries,
02/05/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD, -£3.99 ,Outgoing,Monzo,Unknown,
02/05/2023,FAST FOOD LONDON GBR, -£2.50 ,Outgoing,Monzo,Food and Dining,
02/05/2023,Zettle_*Wapping Sourdo London GBR, -£4.00 ,Outgoing,Monzo,Food and Dining,
02/05/2023,WAITROSE LONDON GBR, -£2.94 ,Outgoing,Monzo,Groceries,
02/05/2023,PRET A MANGER LONDON GBR, -£2.99 ,Outgoing,Monzo,Food and Dining,
02/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £50.00 ,Income,Monzo,Transfer,
02/05/2023,TfL Travel Charge TFL.gov.uk/CP GBR, -£8.75 ,Outgoing,Monzo,Transport,
01/05/2023,Interest for April 2023, £0.06 ,Income,Monzo,Interest,
21/04/2023,Monzo Plus, -£5.00 ,Outgoing,Monzo,Banking/Financial Services,
17/04/2023,ALDI 781 142 LONDON GBR, -£1.89 ,Outgoing,Monzo,Groceries,
16/04/2023,TESCO STORES 6042 LONDON GBR, -£3.90 ,Outgoing,Monzo,Groceries,
16/04/2023,Studioway Food & Wine Borehamwood GBR, -£3.45 ,Outgoing,Monzo,Groceries,
08/04/2023,TFL TRAVEL CH\VICTORIA, -£3.50 ,Outgoing,Monzo,Transport,
07/04/2023,TFL TRAVEL CH\VICTORIA, -£8.75 ,Outgoing,Monzo,Transport,
06/04/2023,HCCU PLATFORM (Faster Payments), -£200.00 ,Outgoing,Monzo,Banking/Financial Services,This firm is not authorised by the FCA since 2021
06/04/2023,PAYPAL *HC INTERNATION 35314369001, -£340.00 ,Outgoing,Monzo,Paypal,
06/04/2023,PAYPAL *HC INTERNATION 35314369001, -£500.00 ,Outgoing,Monzo,Paypal,
06/04/2023,MAXINE PATRICIA CAMBRIDGE (Faster," £1,040.00 ",Income,Monzo,Transfer,
06/04/2023,NORTH LONDON HOSPICE BARNET GBR, -£32.00 ,Outgoing,Monzo,Healthcare,
06/04/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £50.00 ,Income,Monzo,Transfer,
06/04/2023,Isaac Cambridge (Faster Payments), -£150.00 ,Outgoing,Monzo,Transfer to Isaac,
06/04/2023,TfL Travel Charge TFL.gov.uk/CP GBR, -£8.75 ,Outgoing,Monzo,Transport,
06/04/2023,Capital.com UK INTERNET GBR, -£30.00 ,Outgoing,Monzo,Banking/Financial Services,
06/04/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £200.00 ,Income,Monzo,Transfer,
05/04/2023,TFL TRAVEL CH\VICTORIA, -£10.20 ,Outgoing,Monzo,Transport,
04/04/2023,TfL Travel Charge TFL.gov.uk/CP GBR, -£8.75 ,Outgoing,Monzo,Transport,
03/04/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £20.00 ,Income,Monzo,Transfer,
03/04/2023,TFL TRAVEL CH\VICTORIA, -£7.00 ,Outgoing,Monzo,Transport,
02/04/2023,TfL Travel Charge TFL.gov.uk/CP GBR, -£8.75 ,Outgoing,Monzo,Transport,
01/04/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD, -£1.25 ,Outgoing,Monzo,Unknown,
01/04/2023,TESCO STORES 5781 BARNET GBR, -£1.51 ,Outgoing,Monzo,Groceries,
01/04/2023,CO-OP GROUP FOOD RETAI HIGHGATE GBR, -£2.00 ,Outgoing,Monzo,Groceries,
01/04/2023,ALDI 781 142 LONDON GBR, -£2.39 ,Outgoing,Monzo,Groceries,
01/04/2023,TFL TRAVEL CH\VICTORIA, -£8.75 ,Outgoing,Monzo,Transport,
01/04/2023,WAITROSE LONDON GBR, -£8.45 ,Outgoing,Monzo,Groceries,
01/04/2023,Interest for March 2023, £0.07 ,Income,Monzo,Interest,
31/03/2023,BOOTS 951 LONDON GBR, -£3.75 ,Outgoing,Monzo,Pharmacy,
31/03/2023,WAITROSE LONDON GBR, -£3.00 ,Outgoing,Monzo,Groceries,
31/03/2023,TfL Travel Charge TFL.gov.uk/CP GBR, -£1.75 ,Outgoing,Monzo,Transport,
30/03/2023,TESCO STORES 2126 BOREHAMWOOD GBR, -£6.07 ,Outgoing,Monzo,Groceries,
29/03/2023,DENIZ BEST KEBAB LONDON GBR, -£6.00 ,Outgoing,Monzo,Restaurant,
29/03/2023,HUMAN RELIEF WELFARE LONDON GBR, -£22.00 ,Outgoing,Monzo,Charity,
29/03/2023,NISA LOCAL ELSTREE STA BOREHAMWOOD, -£2.98 ,Outgoing,Monzo,Groceries,
28/03/2023,Coinbase (Faster Payments), £89.00 ,Income,Monzo,Cryptocurrency,
28/03/2023,TFL TRAVEL CH\VICTORIA, -£6.40 ,Outgoing,Monzo,Transport,
28/03/2023,ALDI 781 142 LONDON GBR, -£1.89 ,Outgoing,Monzo,Groceries,
27/03/2023,WAITROSE LONDON GBR, -£5.34 ,Outgoing,Monzo,Groceries,
27/03/2023,Subway 35641 Adgate hi London GBR, -£12.55 ,Outgoing,Monzo,Food and Dining,
27/03/2023,Studioway Food & Wine Borehamwood GBR, -£3.00 ,Outgoing,Monzo,Groceries,
26/03/2023,FAST FOOD LONDON GBR, -£5.49 ,Outgoing,Monzo,Food and Dining,
26/03/2023,TESCO STORES 5781 BARNET GBR, -£6.90 ,Outgoing,Monzo,Groceries,
25/03/2023,TFL TRAVEL CH\VICTORIA, -£1.75 ,Outgoing,Monzo,Transport,
24/03/2023,TGC ST KATHERINES LONDON GBR, -£12.45 ,Outgoing,Monzo,TGI (unknown),
24/03/2023,SIMPLY LOCAL BARNET GBR, -£1.50 ,Outgoing,Monzo,Beauty and Personal Care,
23/03/2023,ALDI 781 142 LONDON GBR, -£8.25 ,Outgoing,Monzo,Groceries,
23/03/2023,BOOTS 951 LONDON GBR, -£4.99 ,Outgoing,Monzo,Pharmacy,
23/03/2023,TfL Travel Charge TFL.gov.uk/CP GBR, -£6.40 ,Outgoing,Monzo,Transport,
22/03/2023,TESCO STORES 6042 LONDON GBR, -£7.80 ,Outgoing,Monzo,Groceries,
22/03/2023,WAITROSE LONDON GBR, -£6.40 ,Outgoing,Monzo,Groceries,
21/03/2023,Organic Food Garden Barnet GBR, -£6.67 ,Outgoing,Monzo,Groceries,
21/03/2023,Monzo Plus, -£5.00 ,Outgoing,Monzo,Banking/Financial Services,
20/03/2023,AGE UK HERTSUNITED K GBR, -£5.00 ,Outgoing,Monzo,Charity,
20/03/2023,ONE STOP FOOD AND WINE LONDON GBR, -£2.50 ,Outgoing,Monzo,Groceries,
19/03/2023,SAINSBURYS WAPPING LON LONDON GBR, -£1.45 ,Outgoing,Monzo,Groceries,
19/03/2023,SAINSBURYS WAPPING LON LONDON GBR, -£4.45 ,Outgoing,Monzo,Groceries,
19/03/2023,Greens international f Edgware GBR, -£4.27 ,Outgoing,Monzo,Groceries,
18/03/2023,SPECSAVERS BOREHAMWOOD GBR, -£35.00 ,Outgoing,Monzo,Healthcare,
18/03/2023,COINBASE.COM?GBP LONDON GBR, -£10.00 ,Outgoing,Monzo,Cryptocurrency,
17/03/2023,Coinbase Payments (Faster Payments), -£20.00 ,Outgoing,Monzo,Cryptocurrency,
16/03/2023,Capital.com UK INTERNET GBR, -£20.00 ,Outgoing,Monzo,Internet Services,
13/03/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £50.00 ,Income,Monzo,Transfer,
12/03/2023,COINBASE.COM?GBP LONDON GBR, -£10.00 ,Outgoing,Monzo,Cryptocurrency,
12/03/2023,COINBASE.COM?GBP LONDON GBR, -£50.00 ,Outgoing,Monzo,Cryptocurrency,
12/03/2023,FAST FOOD LONDON GBR, -£5.49 ,Outgoing,Monzo,Food and Dining,
12/03/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £50.00 ,Income,Monzo,Transfer,
12/03/2023,WAITROSE LONDON GBR, -£3.15 ,Outgoing,Monzo,Groceries,
11/03/2023,Aksu Supermarket London GBR, -£2.99 ,Outgoing,Monzo,Groceries,
11/03/2023,WAITROSE LONDON GBR, -£7.05 ,Outgoing,Monzo,Groceries,
11/03/2023,WAITROSE LONDON GBR, -£3.15 ,Outgoing,Monzo,Groceries,
