Date,Description, (GBP) Amount ,Transaction Type,Bank,Category 1,
20/04/2023,TESCO STORES 6042, -£3.90 ,Outgoing,Metro,Groceries,
20/04/2023,ALDI Stores, -£6.17 ,Outgoing,Metro,Groceries,
21/04/2023,Studioway Food Wine, -£2.75 ,Outgoing,Metro,Groceries,
21/04/2023,PPOINT STUDIO WAY FOO, -£4.49 ,Outgoing,Metro,Unknown,
21/04/2023,TESCO STORES 2126, -£6.00 ,Outgoing,Metro,Groceries,
21/04/2023,TESCO STORES 2126, -£14.70 ,Outgoing,Metro,Groceries,
24/04/2023,Studioway Food Wine, -£1.49 ,Outgoing,Metro,Groceries,
24/04/2023,POUNDLAND LTD 1568, -£1.50 ,Outgoing,Metro,Groceries,
24/04/2023,GOLDEN PLAICE, -£2.50 ,Outgoing,Metro,Restaurant,
25/04/2023,SAINSBURYS S MKTS, £0.00 ,Outgoing,Metro,Groceries,
25/04/2023,WAITROSE 753, -£4.89 ,Outgoing,Metro,Groceries,
25/04/2023,DENIZ BEST KEBAB, -£6.00 ,Outgoing,Metro,Restaurant,
25/04/2023,BOOTS 951, -£6.00 ,Outgoing,Metro,Pharmacy,
25/04/2023,TFL TRAVEL CH, -£8.75 ,Outgoing,Metro,Transport,
28/04/2023,inward Payment Isaac Cambridge, £100.00 ,Income,Metro,Unknown,
01/03/2023,GOOGLE YouTubePremium, -£11.99 ,Outgoing,Metro,Subscription Services,
02/03/2023,DEGOO CLOUD STORAGE 50108983992, -£1.89 ,Outgoing,Metro,Technology/Cloud Storage,
02/03/2023,Inward Payment Isaac Cambridge, £50.00 ,Income,Metro,Transfer from Isaac,
03/03/2023,Card Purchase 28 FEB 2023, -£3.40 ,Outgoing,Metro,Unknown,
03/03/2023,Zetile Wapping Sourdo, -£4.00 ,Outgoing,Metro,Unknown,
03/03/2023,TFL TRAVEL CH, -£6.00 ,Outgoing,Metro,Transport,
06/03/2023,PRET A MANGER, -£2.99 ,Outgoing,Metro,Food and Dining,
06/03/2023,SHELL ELSTREE 605, -£3.14 ,Outgoing,Metro,Groceries,
06/03/2023,WAITROSE 753, -£6.60 ,Outgoing,Metro,Groceries,
06/03/2023,Inward Payment Isaac Cambridge, £100.00 ,Income,Metro,Transfer from Isaac,
07/03/2023,Card Purchase 05 MAR 2023, -£1.00 ,Outgoing,Metro,Unknown,
07/03/2023,ALDI Stores, -£1.89 ,Outgoing,Metro,Groceries,
07/03/2023,Aksu Supermarket, -£1.99 ,Outgoing,Metro,Groceries,
07/03/2023,SumUp_ Nac for nac, -£3.00 ,Outgoing,Metro,Unknown,
07/03/2023,Greens international f, -£3.18 ,Outgoing,Metro,Groceries,
07/03/2023,TFL TRAVEL CH, -£3.40 ,Outgoing,Metro,Transport,
07/03/2023,TFL TRAVEL CH, -£3.40 ,Outgoing,Metro,Transport,
07/03/2023,Patrean Membership, -£6.00 ,Outgoing,Metro,Subscription Services,
07/03/2023,WAITROSE 753, -£9.45 ,Outgoing,Metro,Groceries,
08/03/2023,TFL TRAVEL CH, -£3.50 ,Outgoing,Metro,Transport,
08/03/2023,SAINSBURYS S MKTS, -£5.90 ,Outgoing,Metro,Groceries,
09/03/2023,POUNDLAND LTD 1568, -£1.50 ,Outgoing,Metro,Groceries,
09/03/2023,Zettle 83 WENZELS THE, -£3.00 ,Outgoing,Metro,Food and Dining,
09/03/2023,TFL TRAVEL CH, -£6.85 ,Outgoing,Metro,Transport,
09/03/2023,VODAFONE LTD, -£29.79 ,Outgoing,Metro,Telecommunications,
09/03/2023,AGE UK, -£35.98 ,Outgoing,Metro,Charity,
10/03/2023,BACS Payment Received CIS SECURITY LTD," £1,569.08 ",Income,Metro,Work,
10/03/2023,Outward Faster Payment Maxine cambridge, -£885.00 ,Outgoing,Metro,Transfer,
10/03/2023,WAITROSE 753, -£5.75 ,Outgoing,Metro,Groceries,
10/03/2023,TFL TRAVEL CH, -£8.75 ,Outgoing,Metro,Transport,
10/03/2023,Outward Faster Payment Maxine cambridge, -£160.00 ,Outgoing,Metro,Transfer,
10/03/2023,Inward Payment Access UK Ltd, £100.00 ,Income,Metro,Transfer,
